,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
252,2025-04,WEEKDAY,14,TRAIN,BP2,1828,2516
253,2025-04,WEEKDAY,18,TRAIN,CC5,17730,8440
254,2025-04,WEEKDAY,19,TRAIN,DT23,10392,7526
255,2025-04,WEEKDAY,23,TRAIN,NE9,3371,9315
256,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,20191,39089
257,2025-04,WEEKDAY,7,TRAIN,NS3,78250,21869
258,2025-04,WEEKDAY,17,TRAIN,NS5,42721,60367
259,2025-04,WEEKDAY,23,TRAIN,EW25,1312,6004
260,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,DT21,3361,4342
261,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NE17/PTC,18155,21855
262,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NS13,19442,29924
263,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,SE5,1138,1348
264,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,TE12,2215,1373
265,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,TE12,2836,1998
266,2025-04,WEEKDAY,7,TRAIN,CC5,3373,6284
267,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT10,790,964
268,2025-04,WEEKDAY,16,TRAIN,PE5,5438,8321
269,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,408,1118
270,2025-04,WEEKDAY,12,TRAIN,DT23,3963,3511
271,2025-04,WEEKDAY,15,TRAIN,EW16/NE3/TE17,39934,25574
272,2025-04,WEEKDAY,16,TRAIN,EW33,5821,3895
273,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,DT6,4413,2395
274,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,TE18,7286,5107
275,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NS2,7894,15375
276,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3524,2494
277,2025-04,WEEKENDS/HOLIDAY,5,TRAIN,PE3,281,70
278,2025-04,WEEKDAY,13,TRAIN,EW30,1239,1670
279,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,CC24,42,57
280,2025-04,WEEKDAY,22,TRAIN,CC20,1475,3436
281,2025-04,WEEKDAY,20,TRAIN,EW26,17870,53950
282,2025-04,WEEKDAY,12,TRAIN,EW19,14894,11837
283,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,PW6,975,842
284,2025-04,WEEKDAY,5,TRAIN,NE14,7673,1120
285,2025-04,WEEKDAY,23,TRAIN,EW6,1249,6488
286,2025-04,WEEKDAY,14,TRAIN,NS8,14989,13059
287,2025-04,WEEKDAY,17,TRAIN,CC5,13361,5228
288,2025-04,WEEKDAY,19,TRAIN,TE6,8141,29582
289,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT22,6484,3911
290,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,PE5,1543,3453
291,2025-04,WEEKDAY,11,TRAIN,BP13,1332,775
292,2025-04,WEEKDAY,10,TRAIN,CC5,2377,5113
293,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC16,4933,2363
294,2025-04,WEEKDAY,9,TRAIN,NE15,39466,8567
