,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's Portfolio Investment Assets",,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/07/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
    Viet Nam,5423.6,5103.3,5871.7,7595.1,5537.6,3591.2,3650.1,2612.4,2083.6,1121.8,1494.6,321.9,271,292.7,242.7,592.7,354.9,676.5,271.9,47.5,19.9,11.2,38.6,46.3
  Europe,256703.1,257557.5,243673.5,264969.5,237809.4,225581.5,173147.9,171222.4,143273.5,131040.5,123088.1,128902.7,96206.2,74271.3,73687,57018.2,45668.3,90485.5,62221.2,42951,38566.4,32506.9,18111.3,13264.3
    Germany,17211.3,16637,16643.6,16149.4,20796.8,18976.2,15581.5,13850.5,9920.5,8644.2,8050.6,10232.1,11345.1,na,na,na,2692.9,8269.6,4237.5,2865.7,2374.5,1954.9,632.1,796
    Ireland,30680,33671.7,28191.2,30073,23794.6,22027.4,15026.2,12712.6,9427.4,8696.9,7361.6,7221.7,2428.8,1313.5,1580.6,1395,1054.9,938.2,1156.4,1295.7,992.6,474.4,1209.4,1181.5
    Luxembourg,37172.9,40852.5,39456.5,43688.3,37699.2,32968.3,23548,22664.7,17931.4,16655,14643.7,11647.4,8220.1,4426.8,4210.9,3571.2,1489.3,4710.5,4436,1145.3,1232.4,2199.7,1401.4,801.9
    Netherlands,11247.5,10440.4,6297.8,9599,9590.5,8419.2,6658,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Spain,7204.6,6733.2,6264.4,6309.1,7630.1,9293.5,7112.1,8058.3,6129.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Switzerland,13591.9,16963.6,15824.4,14541,17746.4,13315.3,9155.5,10358.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    United Kingdom,42902,40566.3,43426.8,46147,34717.4,32787.6,26676,28500.3,26062.1,26568.6,27327.8,28637.7,24679,23572.9,23439.2,16791,21748.4,35033.9,16613.2,16842,15382.5,12224.2,7215.5,5537.7
  North America,521803.9,404284.1,354583.9,381217.6,268561.4,247582,198623.5,217484.8,206202.8,182753.7,180687.9,171177.5,na,na,na,na,60684.3,83230.8,66928.5,61354.4,48788.8,51143.3,21742.9,14559
    Canada,17471.5,16314.1,17938.6,16399.3,10501.7,10834.8,8829.8,11937.4,15441.3,10431.3,12031.7,11418.3,na,na,na,na,2864.2,4688.1,3131.5,2500.5,1948.3,2082.1,674.7,331
    United States Of America,496753.7,380216.8,328648.4,358266.3,252037.8,231296.5,186115.2,204281.9,190757.6,172322.4,168656.2,159759.2,133215.4,109621.2,95576.7,68942.1,57820.1,77950,63580.8,58500.6,45408.2,48330.5,20995,14228.1
  Oceania,41900.5,43311.1,37451.8,37360,28953.8,22400.5,15420.7,16610.4,17261.5,11382.4,15318.3,17802.8,13992.3,11616.7,13527.5,10544.2,4137.7,13562.8,6443.9,5325.4,5090,4506.3,2356.2,1302
    Australia,40411.6,42080.1,36065.7,35109.4,27343.7,20832.7,14946.4,15980.4,16990.6,11221.8,15000.6,17627.5,13908.2,11360.6,13252.4,10391.1,3927.1,13019.8,6281.5,5286.5,4975.7,4328.7,2203.5,1203.7
    New Zealand,1445.5,1182.8,1342.8,1994,1562.1,1481,466.8,539.4,176.5,131.7,278,125.3,48.2,86.6,30.1,71.1,94.9,503.3,136.3,26.4,113.6,177.6,152.7,98.3
  South And Central America And The Caribbean,105546.4,133004.2,115988.8,102793.7,107947.8,98896.7,81843.5,77818.8,66386.5,51765.7,45772.8,43215.7,38405.2,31810.2,27694.9,20018,12515.3,19270.5,14242.8,8016.4,8232.5,6627.5,3595.9,3625.5
    Bermuda,12499.4,13616.9,14041.6,13699.9,8764.5,8090.7,7788.1,8693.2,9451.8,10795.9,9383.6,9580.6,10825.6,7308.3,8479.8,9177.6,5561.4,10337.6,7386.5,5689.2,6161.7,5082.1,3065.7,3291.9
    British Virgin Islands,2271.7,2742.9,2723,3247,3246.2,2076,1323.1,1013.1,608,637.2,538.9,376.2,248.1,597,637.9,455.3,435.8,443.3,454.3,415.7,491.4,594.6,61.1,40.2
    Cayman Islands,73031.1,88545.8,75777.5,74632.2,74972.9,56471.9,48300.9,44789.3,29486.5,20482.4,10827.9,7857.8,4688.3,5245.6,4705.4,4385.2,3214,4170.5,4075.2,1305.7,1202.8,506.2,337,249.7
  Africa,7299.2,9787.4,11344.9,9292.1,10753.7,12609.6,12941.8,15907.9,16359.7,14155,14434.2,11752.6,10275.8,7817.5,6214.7,2765.8,1755.2,1512.5,2843.3,531.5,449.5,222.1,145.8,98.7
    Mauritius,1048.9,1306.5,1744.7,1706.7,1127,817.8,807.9,1616,1756.5,2085.7,1824.6,1254.2,1474.3,1196.1,1430.7,na,681.7,214.8,2001.1,308.4,147.3,130.5,114.8,94.3
  ASEAN,68216.3,73112,60448.5,49091.1,41290.7,43635.9,42362.4,35442,37088.7,30524.2,32838.2,31944.4,38367.3,22258.4,21659.2,13464.7,17139.5,30465.8,23818.2,22333.8,19918.9,14164.3,13031,12952.7
  European Union (EU-27),151770,151888.4,136333.7,146214.6,138751.1,135949,97836.6,96461.3,75541.5,66475.3,60743.5,61712.5,52149.8,35877.3,36882.3,31210.8,16487.3,40661.6,25347.4,16119.6,13773,14629.5,7844,5716.5
"Singapore's Portfolio Investment Assets - Debt Securities (Instrument)",1127376.8,999186.7,964419.9,970613.4,999994.1,962837.9,841840.3,816244.7,738271.4,676630.2,627674.1,561880.2,459904.2,394951.3,377076.5,360201.3,273272.9,360402,306287,257066.1,246433.9,226378.8,169981.4,145615.5
  Asia,361069.8,348656.5,364474.9,351287.3,416146.1,404337.4,336094.1,321694.7,247383.2,230448.5,256473.2,249688,200951.1,151460.9,137759.7,113246.1,73185.2,96009,67182.5,51598.1,40351.7,30821.8,29019.3,33159.1
    Mainland China,90654.5,92410.6,78905.6,98318.8,106052.1,67666.1,43869.8,52542.2,32273.8,31913.5,40539.8,21028.3,5270.6,4760,1939.3,2643.1,2480.6,1814.5,1666.8,1795.5,1149.9,1163.8,968.7,1038.5
    Hong Kong,18605.7,17423.7,20859.1,21606.6,23047.4,21432.3,19220.7,19940,15933.2,18086.6,23946.3,31038.7,13799.8,9353.9,8473.1,6742.7,6505.8,7115.5,6293.6,5572,3864.8,4243.1,3249,3117.9
    India,28967.7,24634.2,22783.1,29298.7,29066.8,30363.9,30214.8,29839.1,17769.9,28298.2,40023.4,31391.5,42057.9,26737.9,18693.5,10692.5,8224.6,6819.9,3513.2,2090.7,2288.4,1053.6,557,706.7
    Indonesia,26867.9,23284.9,14151.1,16566.6,21911.4,23688.5,17537.1,21831.3,13967.6,12246.6,14150.7,11829.5,14429.9,14202,20950.4,11385.2,5003.7,10716.3,8471,6049.1,2603.5,2258.4,1573,880.7
    Japan,80278,75445,124998.7,86206.7,141942.6,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,70232.8,71540.2,61868.9,59966.8,56053,41535.7,31856.3,25985.7,17298.1,19045.4,29299.8,24319.2,29701.5,32523.8,23398.4,32093.8,22495.7,23870.2,13848.5,10841.5,8343.7,8869.4,6245.8,4921.6
    Malaysia,24031,23279.2,20700.1,19013.1,17331.3,16675.8,14675.3,15446.4,16713.5,16710.2,22502.8,32923.4,24470.2,12082.6,9901.9,8527.7,8028.1,15626.1,8896.5,9710.4,11580.6,6934.9,5380.7,4034.6
    Myanmar,na,na,na,na,na,na,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Philippines,3148.7,2743.7,2273.4,2808.4,5414.9,na,5959.3,4727.7,4529.3,3467.2,5349.6,9164.6,4095.2,3950.4,3289.7,2488,1940,2111.8,1835.1,1120.3,1079.9,1280.5,1630.3,1766.4
    Taiwan,na,1254.8,na,na,1268,870.8,34.8,91.9,264.6,535.7,4467.2,5739.9,5557.9,3340.1,7790.1,4424.7,1864.6,926.2,903,1112.9,2309.3,1018.2,1890.1,797.9
    Thailand,5672.5,5027.2,6586.8,4945.2,4864.5,3885.1,6797.6,7925.7,3760.6,3396.5,3570.6,4234.1,7970.2,4857,5932.1,2689.8,1484.4,2370.9,2185.2,2096.3,1326.8,1653.7,1310.2,1644.1
    Viet Nam,na,na,na,na,na,na,na,na,266.5,300,735.5,401.1,195.2,124.4,179.4,238.3,1023.1,1369.8,149.8,55.4,-,-,-,-
  Europe,147667.9,137380,122592.9,140114.2,152464.5,151627.7,146192,148132.2,136365.7,119499.6,122093.2,117212.5,98912,73197.5,122898.1,135165.5,104681.2,140470.4,139351.1,112959.9,112138,108915.9,80563.9,60716
    Germany,na,na,na,na,31142.4,na,na,28781.3,26084.4,25285.9,25033.5,23973.2,19536.4,9894.8,25401.1,18227.5,15086.4,22482.7,21703.9,17202.6,12474,14383.3,16397.6,11211.5
    Ireland,2282,1648.5,na,2181.2,na,na,1800.7,2305.9,1603.7,1505.9,1261.5,612,411.6,884.3,1561.3,2394.4,3445.4,4379.6,3653.8,2709.9,2833.4,3283.2,2345.1,1643.7
    Luxembourg,5566.2,4974.6,3831.8,4119.2,6987.2,5320.8,12364.6,13657.2,14929.4,12425.6,8628.4,14650.9,12884.1,3222.8,8207.2,1443.1,1216.7,1308.6,5686.7,5663.3,4828.9,5477,4250.8,1286.8
    Netherlands,9296.5,8988.2,7762.9,9828.2,11148.3,11054.4,10142.6,10573.6,9973.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Spain,3077.1,na,na,na,na,na,na,1789.7,1831.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Switzerland,5995.5,5682.8,5172.4,3500.6,na,3870.9,na,3461.2,3043.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    United Kingdom,34965.7,31068,24553.4,32428.1,35008.7,30359.7,25405.4,28281,27871.1,22795.3,29057.1,23624.8,28996.9,28017.8,48739.7,63957.1,51540.5,63400.2,62345.6,50420.8,44710.3,38029.1,29030.2,24974.5
  North America,482106.6,398267.2,373826.6,378164.1,339157.8,318944,283308,272896.2,281920.3,261405.9,192011,147957.4,114542.9,106221.9,77630.2,66248,54234.9,74960.7,57737.6,56812.9,65163.3,62516.2,39707.7,31347.7
    Canada,19421.5,18967.4,13913.3,15665.3,19639.8,15843.4,12594,15537.5,15144.4,12446.1,6669.3,4547.6,3817.6,3211.5,1951.5,1669.4,1796.4,2604.8,2678.6,2690.6,2434.8,3861.2,3272.7,3053.8
    United States Of America,462684.1,379297.2,359910.7,362494.6,319517.8,303100.5,270714,257358.7,266773.9,248959.9,185341.6,143409.8,110725.3,103010.4,75678.8,64578.6,52417.6,72350.2,55059,54122.3,62701.2,58626.8,36432.2,28293.9
  Oceania,43381.2,41860.8,32513.7,27535.5,30771.5,26072.5,22550.5,25797.5,26304.6,21149,22819.1,21697.6,21688.5,23535.6,22957.5,29571.2,25882.2,33655.4,28100.2,23776.5,18607.3,15517.7,14232.8,12562.4
    Australia,39652.4,36682.2,29034.2,25971.4,29589.4,24331.5,21835,25301.1,25413,20222.9,21838.7,21063.3,19764.6,20740,21736.5,28233.6,25131.4,32985.9,26920.3,22890.8,18055.5,14308.7,11874,10402.8
    New Zealand,3606.1,5165.2,na,na,1109.6,1678,na,na,na,849.3,901.1,576.8,na,2769.7,1198.6,1337.6,733.1,644.7,1175.9,871.9,551.8,1205.7,2332.9,2133.4
